employeenumber,department,jobrole,joblevel,educationfield,gender,age,age_band,monthlyincome,overtime,overtime_flag,distancefromhome,jobsatisfaction,worklifebalance,tenure_years,tenure_band,attrition,attrition_flag
65,Research & Development,Laboratory Technician,1,Technical Degree,Male,28,25-34,3441,Yes,1,5,3,2,2,1-2,Yes,1
68,Sales,Sales Executive,2,Marketing,Female,44,35-44,5454,Yes,1,1,1,2,4,2-5,No,0
70,Research & Development,Healthcare Representative,3,Medical,Male,35,35-44,9884,Yes,1,11,1,3,4,2-5,No,0
72,Sales,Sales Executive,2,Marketing,Female,26,25-34,4157,Yes,1,23,4,2,2,1-2,No,0
73,Research & Development,Research Director,3,Life Sciences,Female,33,25-34,13458,Yes,1,1,4,3,15,10+,No,0
74,Sales,Sales Executive,3,Life Sciences,Male,35,35-44,9069,No,0,18,1,2,9,5-10,No,0
75,Research & Development,Laboratory Technician,1,Medical,Female,35,35-44,4014,Yes,1,23,1,3,2,1-2,No,0
76,Research & Development,Laboratory Technician,2,Life Sciences,Male,31,25-34,5915,No,0,7,4,2,7,5-10,No,0
77,Research & Development,Manufacturing Director,2,Life Sciences,Male,37,35-44,5993,No,0,1,3,4,7,5-10,No,0
78,Research & Development,Manufacturing Director,2,Medical,Male,32,25-34,6162,Yes,1,1,4,3,9,5-10,No,0
79,Research & Development,Laboratory Technician,2,Life Sciences,Female,38,35-44,2406,No,0,29,4,3,10,5-10,No,0
80,Research & Development,Research Director,5,Medical,Female,50,45-54,18740,Yes,1,7,3,2,27,10+,No,0
81,Sales,Sales Executive,3,Life Sciences,Female,59,55+,7637,No,0,25,1,2,21,10+,No,0
83,Research & Development,Healthcare Representative,3,Technical Degree,Female,36,35-44,10096,No,0,8,3,3,17,10+,No,0
84,Research & Development,Manager,4,Medical,Female,55,55+,14756,Yes,1,8,3,3,5,2-5,No,0
85,Research & Development,Manufacturing Director,2,Life Sciences,Male,36,35-44,6499,No,0,11,2,3,6,5-10,No,0
86,Research & Development,Research Scientist,3,Life Sciences,Male,45,45-54,9724,No,0,7,1,3,1,0-1,No,0
88,Research & Development,Research Scientist,1,Medical,Male,35,35-44,2194,No,0,1,1,2,3,2-5,No,0
90,Research & Development,Research Scientist,1,Medical,Male,36,35-44,3388,Yes,1,9,3,2,1,0-1,Yes,1
91,Sales,Sales Executive,2,Life Sciences,Female,59,55+,5473,No,0,1,3,2,4,2-5,No,0
94,Research & Development,Research Scientist,1,Life Sciences,Male,29,25-34,2703,No,0,2,2,3,5,2-5,No,0
95,Research & Development,Research Scientist,1,Medical,Male,31,25-34,2501,No,0,1,2,3,1,0-1,No,0
96,Research & Development,Research Scientist,2,Life Sciences,Male,32,25-34,6220,No,0,1,2,3,10,5-10,No,0
97,Research & Development,Laboratory Technician,1,Life Sciences,Female,36,35-44,3038,No,0,6,4,3,1,0-1,No,0
98,Research & Development,Manufacturing Director,2,Life Sciences,Female,31,25-34,4424,No,0,8,4,3,11,10+,No,0
100,Sales,Sales Executive,2,Marketing,Male,35,35-44,4312,No,0,1,1,3,15,10+,No,0
101,Research & Development,Research Director,3,Other,Male,45,45-54,13245,Yes,1,6,1,4,0,0-1,No,0
102,Research & Development,Research Director,3,Medical,Male,37,35-44,13664,No,0,7,3,4,5,2-5,No,0
103,Human Resources,Human Resources,2,Medical,Male,46,45-54,5021,Yes,1,5,2,3,4,2-5,No,0
104,Research & Development,Laboratory Technician,2,Life Sciences,Male,30,25-34,5126,Yes,1,1,4,2,10,5-10,No,0
105,Research & Development,Research Scientist,1,Medical,Male,35,35-44,2859,No,0,1,3,3,6,5-10,No,0
106,Sales,Sales Executive,3,Life Sciences,Male,55,55+,10239,No,0,1,4,3,1,0-1,No,0
107,Research & Development,Research Scientist,2,Medical,Female,38,35-44,5329,Yes,1,6,4,3,13,10+,No,0
110,Research & Development,Manufacturing Director,2,Medical,Male,34,25-34,4325,No,0,1,2,3,5,2-5,No,0
112,Research & Development,Manufacturing Director,3,Life Sciences,Male,56,55+,7260,No,0,7,4,2,6,5-10,No,0
113,Sales,Sales Representative,1,Technical Degree,Male,23,<25,2322,No,0,2,1,3,0,0-1,No,0
116,Research & Development,Laboratory Technician,1,Life Sciences,Male,51,45-54,2075,No,0,9,4,3,4,2-5,No,0
117,Research & Development,Healthcare Representative,2,Life Sciences,Male,30,25-34,4152,No,0,2,4,3,11,10+,No,0
118,Sales,Sales Executive,3,Medical,Male,46,45-54,9619,No,0,9,4,3,9,5-10,Yes,1
119,Research & Development,Healthcare Representative,4,Life Sciences,Male,40,35-44,13503,No,0,1,2,2,22,10+,No,0
120,Sales,Sales Executive,2,Marketing,Male,51,45-54,5441,Yes,1,21,4,1,10,5-10,No,0
121,Sales,Sales Executive,2,Medical,Female,30,25-34,5209,Yes,1,4,2,2,11,10+,No,0
124,Research & Development,Healthcare Representative,3,Medical,Male,46,45-54,10673,Yes,1,1,1,2,10,5-10,No,0
125,Sales,Sales Executive,2,Medical,Male,32,25-34,5010,No,0,6,3,3,11,10+,No,0
126,Research & Development,Research Director,3,Technical Degree,Female,54,45-54,13549,No,0,2,3,1,4,2-5,No,0
128,Sales,Sales Executive,2,Other,Female,24,<25,4999,No,0,3,3,2,3,2-5,No,0
129,Sales,Sales Executive,2,Medical,Male,28,25-34,4221,No,0,4,3,4,5,2-5,No,0
131,Sales,Sales Executive,4,Medical,Male,58,55+,13872,No,0,10,3,2,37,10+,No,0
132,Research & Development,Laboratory Technician,2,Medical,Male,44,35-44,2042,No,0,23,2,4,3,2-5,No,0
133,Human Resources,Human Resources,1,Human Resources,Male,37,35-44,2073,Yes,1,6,1,3,3,2-5,Yes,1
134,Research & Development,Research Scientist,1,Life Sciences,Male,32,25-34,2956,No,0,1,1,3,1,0-1,No,0
137,Research & Development,Laboratory Technician,1,Life Sciences,Female,20,<25,2926,Yes,1,6,4,3,1,0-1,Yes,1
138,Research & Development,Research Scientist,2,Other,Female,34,25-34,4809,No,0,6,3,3,16,10+,No,0
139,Research & Development,Healthcare Representative,2,Life Sciences,Male,37,35-44,5163,No,0,2,4,4,1,0-1,No,0
140,Human Resources,Manager,5,Human Resources,Female,59,55+,18844,No,0,2,4,3,3,2-5,No,0
141,Research & Development,Research Director,5,Life Sciences,Female,50,45-54,18172,Yes,1,1,2,2,8,5-10,No,0
142,Sales,Sales Executive,2,Marketing,Male,25,25-34,5744,Yes,1,5,3,3,6,5-10,Yes,1
143,Research & Development,Research Scientist,1,Medical,Male,25,25-34,2889,No,0,7,4,3,2,1-2,No,0
144,Research & Development,Laboratory Technician,1,Medical,Female,22,<25,2871,No,0,15,4,3,0,0-1,No,0
145,Research & Development,Healthcare Representative,3,Medical,Female,51,45-54,7484,No,0,1,1,2,13,10+,No,0
147,Research & Development,Laboratory Technician,2,Life Sciences,Male,34,25-34,6074,Yes,1,7,3,3,9,5-10,Yes,1
148,Human Resources,Manager,4,Human Resources,Female,54,45-54,17328,Yes,1,26,4,3,5,2-5,No,0
150,Research & Development,Laboratory Technician,1,Life Sciences,Male,24,<25,2774,No,0,18,3,3,5,2-5,No,0
151,Research & Development,Research Scientist,2,Life Sciences,Female,34,25-34,4505,No,0,6,2,3,1,0-1,No,0
152,Sales,Sales Executive,3,Life Sciences,Male,37,35-44,7428,No,0,3,4,3,5,2-5,No,0
153,Research & Development,Manager,3,Medical,Female,34,25-34,11631,No,0,5,1,3,11,10+,No,0
154,Sales,Sales Executive,3,Technical Degree,Female,36,35-44,9738,No,0,11,4,3,9,5-10,No,0
155,Research & Development,Laboratory Technician,1,Life Sciences,Female,36,35-44,2835,No,0,3,4,3,1,0-1,No,0
158,Sales,Manager,4,Life Sciences,Male,43,35-44,16959,Yes,1,26,4,4,25,10+,No,0
159,Research & Development,Research Scientist,1,Life Sciences,Male,30,25-34,2613,No,0,23,3,2,10,5-10,No,0
160,Sales,Sales Executive,2,Marketing,Male,33,25-34,6146,No,0,22,2,4,7,5-10,No,0
161,Research & Development,Research Scientist,1,Life Sciences,Female,56,55+,4963,Yes,1,14,2,3,5,2-5,Yes,1
162,Research & Development,Research Director,5,Life Sciences,Male,51,45-54,19537,No,0,6,3,3,20,10+,No,0
163,Sales,Sales Executive,2,Life Sciences,Male,31,25-34,6172,Yes,1,6,3,2,7,5-10,Yes,1
164,Research & Development,Research Scientist,1,Other,Female,26,25-34,2368,No,0,6,2,2,5,2-5,No,0
165,Research & Development,Healthcare Representative,3,Medical,Female,58,55+,10312,No,0,23,4,2,40,10+,Yes,1
167,Sales,Sales Representative,1,Marketing,Male,19,<25,1675,Yes,1,22,3,2,0,0-1,Yes,1
169,Research & Development,Laboratory Technician,1,Technical Degree,Male,22,<25,2523,No,0,2,4,3,2,1-2,No,0
170,Research & Development,Manufacturing Director,2,Medical,Female,49,45-54,6567,No,0,20,1,2,15,10+,No,0
171,Research & Development,Research Scientist,1,Medical,Female,43,35-44,4739,No,0,28,3,3,3,2-5,No,0
174,Sales,Sales Executive,3,Marketing,Female,50,45-54,9208,No,0,12,4,3,2,1-2,No,0
175,Sales,Sales Executive,2,Life Sciences,Female,31,25-34,4559,Yes,1,20,3,3,2,1-2,Yes,1
176,Sales,Sales Executive,3,Life Sciences,Male,41,35-44,8189,Yes,1,9,3,3,9,5-10,No,0
177,Human Resources,Human Resources,1,Life Sciences,Female,26,25-34,2942,No,0,25,3,3,8,5-10,No,0
178,Research & Development,Manufacturing Director,2,Medical,Male,36,35-44,4941,No,0,6,2,3,3,2-5,No,0
179,Research & Development,Manufacturing Director,3,Life Sciences,Male,51,45-54,10650,No,0,8,4,3,4,2-5,Yes,1
182,Sales,Sales Executive,2,Life Sciences,Female,39,35-44,5902,No,0,4,3,4,15,10+,No,0
183,Sales,Sales Executive,2,Life Sciences,Male,25,25-34,8639,No,0,28,3,3,2,1-2,No,0
184,Human Resources,Human Resources,2,Human Resources,Male,30,25-34,6347,Yes,1,9,4,1,11,10+,No,0
190,Research & Development,Laboratory Technician,1,Medical,Female,32,25-34,4200,No,0,9,1,4,5,2-5,Yes,1
192,Research & Development,Research Scientist,1,Medical,Male,45,45-54,3452,No,0,29,4,2,6,5-10,No,0
193,Research & Development,Research Scientist,2,Technical Degree,Female,38,35-44,4317,Yes,1,3,3,3,3,2-5,No,0
194,Research & Development,Research Scientist,1,Life Sciences,Female,30,25-34,2632,No,0,18,3,2,5,2-5,No,0
195,Sales,Sales Executive,2,Medical,Male,32,25-34,4668,No,0,9,4,4,8,5-10,No,0
197,Research & Development,Research Scientist,1,Technical Degree,Female,30,25-34,3204,No,0,5,1,3,3,2-5,No,0
198,Research & Development,Laboratory Technician,1,Medical,Male,30,25-34,2720,No,0,2,4,3,5,2-5,No,0
199,Research & Development,Manager,4,Life Sciences,Male,41,35-44,17181,No,0,10,1,2,7,5-10,No,0
200,Research & Development,Laboratory Technician,1,Life Sciences,Male,41,35-44,2238,No,0,9,1,3,5,2-5,No,0
201,Research & Development,Laboratory Technician,1,Medical,Female,19,<25,1483,No,0,3,2,3,1,0-1,No,0
202,Research & Development,Research Scientist,2,Medical,Female,40,35-44,5605,No,0,26,2,3,20,10+,No,0
204,Sales,Sales Executive,3,Marketing,Male,35,35-44,7295,No,0,1,2,3,10,5-10,No,0
205,Sales,Sales Representative,2,Marketing,Male,53,45-54,2306,Yes,1,6,3,1,7,5-10,No,0
206,Research & Development,Laboratory Technician,2,Life Sciences,Male,45,45-54,2348,No,0,9,2,1,17,10+,No,0
207,Sales,Sales Executive,3,Marketing,Female,32,25-34,8998,No,0,8,4,3,9,5-10,No,0
208,Research & Development,Manufacturing Director,2,Technical Degree,Male,29,25-34,4319,No,0,1,3,3,10,5-10,No,0
211,Research & Development,Manufacturing Director,2,Medical,Male,51,45-54,6132,No,0,7,3,3,1,0-1,No,0
214,Research & Development,Research Scientist,1,Medical,Female,58,55+,3346,Yes,1,9,2,2,1,0-1,No,0
215,Sales,Sales Executive,3,Marketing,Male,40,35-44,10855,No,0,4,4,2,12,10+,No,0
216,Sales,Sales Representative,1,Marketing,Female,34,25-34,2231,No,0,2,3,3,4,2-5,No,0
217,Research & Development,Research Scientist,1,Medical,Male,22,<25,2323,No,0,19,4,3,2,1-2,No,0
218,Research & Development,Research Scientist,1,Medical,Male,27,25-34,2024,No,0,9,2,1,2,1-2,No,0
221,Research & Development,Research Scientist,1,Medical,Male,28,25-34,2713,No,0,21,4,1,5,2-5,No,0
223,Research & Development,Healthcare Representative,3,Life Sciences,Male,57,55+,9439,Yes,1,24,4,1,5,2-5,No,0
224,Research & Development,Research Scientist,1,Medical,Male,27,25-34,2566,Yes,1,3,3,2,1,0-1,No,0
226,Research & Development,Manager,5,Life Sciences,Female,50,45-54,19926,No,0,11,2,3,5,2-5,No,0
227,Research & Development,Research Scientist,1,Life Sciences,Male,41,35-44,2451,No,0,14,3,3,9,5-10,No,0
228,Sales,Sales Executive,3,Life Sciences,Female,30,25-34,9419,No,0,5,4,3,10,5-10,No,0
230,Sales,Sales Executive,2,Life Sciences,Female,38,35-44,8686,No,0,1,4,4,8,5-10,No,0
231,Research & Development,Research Scientist,1,Life Sciences,Male,32,25-34,3038,No,0,6,3,3,5,2-5,No,0
233,Research & Development,Research Scientist,1,Technical Degree,Male,27,25-34,3058,Yes,1,17,2,2,5,2-5,No,0
235,Sales,Sales Representative,1,Technical Degree,Female,19,<25,2325,No,0,1,1,4,0,0-1,Yes,1
238,Research & Development,Laboratory Technician,1,Medical,Male,36,35-44,2088,No,0,3,2,2,8,5-10,No,0
239,Research & Development,Laboratory Technician,2,Medical,Male,30,25-34,3072,No,0,9,1,3,12,10+,No,0
240,Sales,Sales Executive,2,Life Sciences,Female,45,45-54,5006,Yes,1,4,1,4,5,2-5,No,0
241,Research & Development,Research Scientist,1,Life Sciences,Female,56,55+,4257,Yes,1,8,1,3,2,1-2,No,0
242,Research & Development,Research Scientist,1,Life Sciences,Male,33,25-34,2500,No,0,2,4,4,3,2-5,No,0
243,Research & Development,Laboratory Technician,1,Life Sciences,Male,19,<25,1102,No,0,2,4,2,1,0-1,Yes,1
244,Sales,Sales Executive,3,Marketing,Female,46,45-54,10453,No,0,1,1,3,24,10+,No,0
245,Research & Development,Laboratory Technician,1,Life Sciences,Female,38,35-44,2288,No,0,9,4,3,2,1-2,No,0
246,Research & Development,Research Scientist,1,Medical,Female,31,25-34,3929,Yes,1,12,4,3,4,2-5,No,0
247,Research & Development,Research Scientist,1,Medical,Female,34,25-34,2311,No,0,27,2,3,3,2-5,No,0
248,Sales,Sales Representative,1,Marketing,Female,41,35-44,3140,Yes,1,20,2,2,4,2-5,Yes,1
249,Research & Development,Laboratory Technician,1,Medical,Male,50,45-54,3690,No,0,1,3,2,3,2-5,No,0
250,Research & Development,Manufacturing Director,2,Medical,Female,53,45-54,4450,No,0,13,1,3,4,2-5,No,0
252,Research & Development,Research Scientist,1,Medical,Female,33,25-34,2756,No,0,14,2,3,8,5-10,No,0
253,Research & Development,Manager,5,Medical,Female,40,35-44,19033,No,0,4,3,3,20,10+,No,0
254,Research & Development,Research Director,5,Medical,Male,55,55+,18722,No,0,14,2,3,24,10+,No,0
256,Research & Development,Manufacturing Director,2,Life Sciences,Male,34,25-34,9547,No,0,2,3,2,10,5-10,No,0
258,Research & Development,Healthcare Representative,4,Medical,Female,51,45-54,13734,No,0,3,2,3,7,5-10,No,0
259,Research & Development,Manager,5,Life Sciences,Male,52,45-54,19999,No,0,1,3,3,33,10+,No,0
260,Research & Development,Research Scientist,1,Medical,Female,27,25-34,2279,No,0,9,2,2,7,5-10,No,0
261,Research & Development,Manufacturing Director,2,Life Sciences,Male,35,35-44,5916,Yes,1,23,3,3,1,0-1,Yes,1
262,Research & Development,Research Scientist,1,Medical,Male,43,35-44,2089,No,0,7,4,4,5,2-5,No,0
264,Research & Development,Manager,4,Medical,Male,45,45-54,16792,No,0,2,4,3,20,10+,No,0
267,Research & Development,Research Scientist,1,Life Sciences,Male,37,35-44,3564,Yes,1,21,1,2,8,5-10,No,0
269,Research & Development,Laboratory Technician,2,Medical,Female,35,35-44,4425,No,0,2,2,3,6,5-10,No,0
270,Research & Development,Manufacturing Director,2,Medical,Female,42,35-44,5265,No,0,21,3,3,5,2-5,No,0
271,Research & Development,Manufacturing Director,2,Life Sciences,Male,38,35-44,6553,No,0,2,3,3,1,0-1,No,0
273,Research & Development,Manufacturing Director,2,Technical Degree,Male,38,35-44,6261,No,0,29,4,1,7,5-10,No,0
274,Research & Development,Manufacturing Director,2,Technical Degree,Male,27,25-34,4298,No,0,1,1,3,2,1-2,No,0
275,Research & Development,Manufacturing Director,2,Life Sciences,Male,49,45-54,6804,Yes,1,18,4,3,7,5-10,No,0
277,Research & Development,Research Scientist,1,Medical,Male,34,25-34,3815,Yes,1,10,3,4,5,2-5,No,0
281,Research & Development,Laboratory Technician,2,Medical,Male,40,35-44,2741,Yes,1,19,4,4,7,5-10,No,0
282,Research & Development,Healthcare Representative,2,Medical,Male,38,35-44,6673,Yes,1,29,1,3,1,0-1,Yes,1
283,Sales,Sales Executive,3,Marketing,Female,29,25-34,7639,No,0,27,4,2,10,5-10,Yes,1
284,Research & Development,Research Scientist,1,Life Sciences,Male,22,<25,2328,Yes,1,5,2,2,4,2-5,No,0
286,Research & Development,Laboratory Technician,1,Medical,Female,36,35-44,2153,No,0,18,4,3,8,5-10,No,0
287,Research & Development,Healthcare Representative,2,Life Sciences,Male,40,35-44,4876,No,0,9,4,1,3,2-5,No,0
288,Research & Development,Healthcare Representative,3,Medical,Male,46,45-54,9396,No,0,1,1,3,4,2-5,No,0
291,Sales,Sales Executive,3,Medical,Male,32,25-34,10400,No,0,4,4,2,14,10+,Yes,1
292,Research & Development,Manufacturing Director,3,Life Sciences,Male,30,25-34,8474,No,0,1,3,3,11,10+,No,0
293,Sales,Sales Executive,2,Life Sciences,Female,27,25-34,9981,No,0,20,3,3,7,5-10,No,0
296,Research & Development,Research Director,3,Life Sciences,Male,51,45-54,12490,No,0,8,2,1,10,5-10,No,0
297,Research & Development,Research Scientist,1,Technical Degree,Female,30,25-34,2657,Yes,1,3,1,3,5,2-5,Yes,1
298,Sales,Manager,3,Life Sciences,Female,41,35-44,13591,Yes,1,6,4,3,1,0-1,No,0
299,Sales,Sales Executive,2,Marketing,Female,30,25-34,6696,No,0,26,1,2,6,5-10,Yes,1
300,Research & Development,Research Scientist,1,Technical Degree,Male,29,25-34,2058,No,0,1,3,2,6,5-10,Yes,1
302,Sales,Sales Executive,3,Medical,Female,45,45-54,8865,No,0,6,4,3,19,10+,No,0
303,Sales,Sales Executive,2,Marketing,Female,54,45-54,5940,No,0,3,1,3,6,5-10,No,0
304,Research & Development,Laboratory Technician,2,Life Sciences,Male,36,35-44,5914,No,0,5,2,4,13,10+,No,0
305,Research & Development,Research Scientist,1,Medical,Female,33,25-34,2622,No,0,4,2,3,3,2-5,No,0
306,Research & Development,Research Director,3,Other,Male,37,35-44,12185,Yes,1,11,4,3,10,5-10,No,0
307,Sales,Sales Executive,3,Life Sciences,Male,38,35-44,10609,No,0,3,3,2,16,10+,No,0
308,Research & Development,Manufacturing Director,2,Medical,Male,31,25-34,4345,No,0,1,3,3,5,2-5,No,0
309,Research & Development,Research Scientist,1,Life Sciences,Male,59,55+,2177,No,0,3,4,3,1,0-1,No,0
311,Sales,Sales Representative,1,Marketing,Male,37,35-44,2793,No,0,4,4,3,9,5-10,No,0
312,Sales,Sales Executive,3,Medical,Female,29,25-34,7918,No,0,1,4,3,11,10+,No,0
314,Sales,Sales Executive,3,Marketing,Female,35,35-44,8789,No,0,1,3,4,10,5-10,No,0
315,Research & Development,Research Scientist,1,Medical,Male,29,25-34,2389,Yes,1,18,4,2,4,2-5,Yes,1
316,Research & Development,Laboratory Technician,1,Life Sciences,Female,52,45-54,3212,No,0,2,4,2,2,1-2,No,0
319,Research & Development,Manager,5,Technical Degree,Male,42,35-44,19232,No,0,4,4,3,22,10+,No,0
321,Human Resources,Human Resources,1,Medical,Male,59,55+,2267,No,0,6,3,2,2,1-2,No,0
323,Sales,Manager,5,Medical,Female,50,45-54,19517,No,0,1,4,2,7,5-10,No,0
325,Research & Development,Laboratory Technician,1,Medical,Male,33,25-34,2436,Yes,1,14,4,1,5,2-5,Yes,1
327,Sales,Manager,4,Marketing,Female,43,35-44,16064,Yes,1,16,4,3,17,10+,No,0
328,Research & Development,Laboratory Technician,1,Life Sciences,Female,33,25-34,2707,No,0,2,1,4,9,5-10,Yes,1
329,Sales,Manager,5,Life Sciences,Male,52,45-54,19068,Yes,1,2,3,4,33,10+,No,0
330,Sales,Sales Representative,1,Life Sciences,Female,32,25-34,3931,No,0,4,2,3,4,2-5,No,0
331,Research & Development,Laboratory Technician,1,Life Sciences,Male,32,25-34,3730,Yes,1,1,3,1,3,2-5,Yes,1
332,Research & Development,Laboratory Technician,1,Medical,Female,39,35-44,2232,No,0,1,3,3,3,2-5,No,0
333,Sales,Sales Executive,2,Marketing,Male,32,25-34,4465,No,0,26,4,3,3,2-5,No,0
334,Research & Development,Research Scientist,2,Life Sciences,Male,41,35-44,3072,No,0,19,1,2,1,0-1,No,0
335,Research & Development,Research Scientist,2,Technical Degree,Male,40,35-44,3319,No,0,24,4,3,9,5-10,No,0
336,Research & Development,Manager,5,Other,Male,45,45-54,19202,No,0,1,4,3,24,10+,No,0
337,Research & Development,Research Director,3,Medical,Male,31,25-34,13675,No,0,3,3,3,2,1-2,No,0
338,Research & Development,Research Scientist,1,Life Sciences,Female,33,25-34,2911,No,0,5,4,2,2,1-2,No,0
339,Research & Development,Manufacturing Director,2,Life Sciences,Male,34,25-34,5957,No,0,2,1,3,11,10+,No,0
340,Research & Development,Research Scientist,1,Medical,Female,37,35-44,3920,No,0,1,1,2,3,2-5,No,0
341,Research & Development,Manufacturing Director,2,Life Sciences,Male,45,45-54,6434,No,0,7,3,3,3,2-5,No,0
342,Research & Development,Manufacturing Director,3,Medical,Male,37,35-44,10048,No,0,10,3,3,1,0-1,Yes,1
